"id","pinpai","chexing","car_url","licheng","shangpai","pailiang","biansu","baojia","yuanjia"
1,"dazhong","SUV","https://www.guazi.com/sh/74522c0caf6c5feax.htm#fr_page=list&fr_pos=city&fr_no=0",9.29,"2012-08",3,"自动",22,97.7
2,"dazhong","SUV","https://www.guazi.com/sh/882f73d06dceb994x.htm#fr_page=list&fr_pos=city&fr_no=1",3.32,"2017-12",2.5,"自动",33.99,47.6
3,"dazhong","SUV","https://www.guazi.com/sh/f5ebb78132fd0b38x.htm#fr_page=list&fr_pos=city&fr_no=2",10.91,"2012-04",3,"自动",26,89.6
4,"dazhong","SUV","https://www.guazi.com/sh/eaff5656770ac61fx.htm#fr_page=list&fr_pos=city&fr_no=3",2.83,"2015-10",1.8,"自动",15.5,30
5,"dazhong","SUV","https://www.guazi.com/sh/ae805f0cefd22b92x.htm#fr_page=list&fr_pos=city&fr_no=4",4.09,"2017-06",2,"自动",29,40
6,"dazhong","SUV","https://www.guazi.com/sh/3d5ea9287e10738dx.htm#fr_page=list&fr_pos=city&fr_no=5",8.98,"2014-07",1.8,"自动",10,25.8
7,"dazhong","SUV","https://www.guazi.com/sh/8f7ea302b181356cx.htm#fr_page=list&fr_pos=city&fr_no=6",0.14,"2018-03",3,"自动",56,85.2
8,"dazhong","SUV","https://www.guazi.com/sh/478c4d22c7a75b6ax.htm#fr_page=list&fr_pos=city&fr_no=7",1.38,"2018-04",1.4,"自动",16.5,26.7
9,"dazhong","SUV","https://www.guazi.com/sh/1a2c91820431c7b9x.htm#fr_page=list&fr_pos=city&fr_no=8",3.41,"2017-11",2,"自动",20,31.5
10,"dazhong","SUV","https://www.guazi.com/sh/3a9891507beb45abx.htm#fr_page=list&fr_pos=city&fr_no=9",1.46,"2018-01",2,"自动",25.2,31.5
11,"dazhong","SUV","https://www.guazi.com/sh/f6af2c6d0f320e0cx.htm#fr_page=list&fr_pos=city&fr_no=10",4.47,"2018-02",2,"自动",29,36.8
12,"dazhong","SUV","https://www.guazi.com/sh/5c60ecefe49eb8c8x.htm#fr_page=list&fr_pos=city&fr_no=11",0.41,"2017-11",1.4,"自动",14.25,21.7
13,"dazhong","SUV","https://www.guazi.com/sh/5cc4a5e040b05750x.htm#fr_page=list&fr_pos=city&fr_no=12",9.82,"2011-02",1.8,"自动",8.26,29
14,"dazhong","SUV","https://www.guazi.com/sh/f986f0a430cb1578x.htm#fr_page=list&fr_pos=city&fr_no=13",4.34,"2015-09",1.8,"手动",12.08,21.7
15,"dazhong","SUV","https://www.guazi.com/sh/c6ceef2d3ccab650x.htm#fr_page=list&fr_pos=city&fr_no=14",8.23,"2014-03",2,"自动",14.21,34.3
16,"dazhong","SUV","https://www.guazi.com/sh/aa353da92a5f074dx.htm#fr_page=list&fr_pos=city&fr_no=15",0.84,"2018-07",2,"自动",18.3,24.3
17,"dazhong","SUV","https://www.guazi.com/sh/7b7fbf19c5646c35x.htm#fr_page=list&fr_pos=city&fr_no=16",1.02,"2017-11",1.8,"自动",22,30
18,"dazhong","SUV","https://www.guazi.com/sh/9520f4f1bd968450x.htm#fr_page=list&fr_pos=city&fr_no=17",3,"2015-07",1.8,"自动",13.8,28.2
19,"dazhong","SUV","https://www.guazi.com/sh/7b0717d6a55bd774x.htm#fr_page=list&fr_pos=city&fr_no=18",9.96,"2011-03",1.8,"自动",8,25.4
20,"dazhong","SUV","https://www.guazi.com/sh/563be3746a566bc3x.htm#fr_page=list&fr_pos=city&fr_no=19",5.86,"2016-02",1.8,"自动",15.5,30
21,"dazhong","SUV","https://www.guazi.com/sh/e28e809fd2711a91x.htm#fr_page=list&fr_pos=city&fr_no=20",8.86,"2014-04",3,"自动",33.8,78.2
22,"dazhong","SUV","https://www.guazi.com/sh/1731e91386fb6f43x.htm#fr_page=list&fr_pos=city&fr_no=21",0.94,"2016-12",1.8,"自动",14,23
23,"dazhong","SUV","https://www.guazi.com/sh/e6391873d7701b19x.htm#fr_page=list&fr_pos=city&fr_no=22",2.31,"2016-01",2,"自动",16.6,34.3
24,"dazhong","SUV","https://www.guazi.com/sh/f276d6472b7e687ex.htm#fr_page=list&fr_pos=city&fr_no=23",11.75,"2012-10",1.8,"自动",11,30
25,"dazhong","SUV","https://www.guazi.com/sh/5c4485eb8540fccex.htm#fr_page=list&fr_pos=city&fr_no=24",8.7,"2014-12",1.8,"自动",13,28.2
26,"dazhong","SUV","https://www.guazi.com/sh/9f33fc0ac424a15ex.htm#fr_page=list&fr_pos=city&fr_no=25",12.8,"2014-09",1.8,"自动",12.96,28.2
27,"dazhong","SUV","https://www.guazi.com/sh/f9ed9144458570a1x.htm#fr_page=list&fr_pos=city&fr_no=26",2.65,"2011-07",2,"自动",12.8,33.6
28,"dazhong","SUV","https://www.guazi.com/sh/506cb5cfa25085e8x.htm#fr_page=list&fr_pos=city&fr_no=27",4.38,"2014-06",1.8,"自动",12.5,27.7
29,"dazhong","SUV","https://www.guazi.com/sh/70c743535e5baaf3x.htm#fr_page=list&fr_pos=city&fr_no=28",8.08,"2011-03",2,"自动",11.4,41.8
30,"dazhong","SUV","https://www.guazi.com/sh/f3e120febb0a116bx.htm#fr_page=list&fr_pos=city&fr_no=29",5.34,"2015-08",1.8,"自动",13.4,25.8
31,"dazhong","SUV","https://www.guazi.com/sh/39d4e5022b6b11a4x.htm#fr_page=list&fr_pos=city&fr_no=30",10.05,"2013-08",1.8,"自动",11.4,30
32,"dazhong","SUV","https://www.guazi.com/sh/1ebb424f6944849ex.htm#fr_page=list&fr_pos=city&fr_no=31",1.94,"2015-12",1.8,"自动",16.1,28.2
33,"dazhong","SUV","https://www.guazi.com/sh/280ed4e261e11387x.htm#fr_page=list&fr_pos=city&fr_no=32",3.17,"2015-08",1.8,"自动",15,25.8
34,"dazhong","SUV","https://www.guazi.com/sh/d99a04b2c4bd4db3x.htm#fr_page=list&fr_pos=city&fr_no=33",4.23,"2016-10",1.8,"自动",15,28.2
35,"dazhong","SUV","https://www.guazi.com/sh/561ea5b4b50f8ec2x.htm#fr_page=list&fr_pos=city&fr_no=34",6.6,"2015-07",1.8,"自动",13.9,28.2
36,"dazhong","SUV","https://www.guazi.com/sh/c024d383dba55c11x.htm#fr_page=list&fr_pos=city&fr_no=35",13.37,"2012-12",1.8,"自动",9.08,25.4
37,"dazhong","SUV","https://www.guazi.com/sh/3838d43a607a4bfdx.htm#fr_page=list&fr_pos=city&fr_no=36",4.77,"2015-09",1.8,"自动",16,28.2
38,"dazhong","SUV","https://www.guazi.com/sh/6e4a5f189bafb2fdx.htm#fr_page=list&fr_pos=city&fr_no=37",11.02,"2011-03",2,"自动",9.5,41.8
39,"dazhong","SUV","https://www.guazi.com/sh/8304b6e0a8eb2a2fx.htm#fr_page=list&fr_pos=city&fr_no=38",12.23,"2013-10",2,"自动",13.03,34.3
40,"dazhong","SUV","https://www.guazi.com/sh/b72c28bd62e246e3x.htm#fr_page=list&fr_pos=city&fr_no=39",3,"2016-03",1.8,"自动",15.2,28.2
41,"dazhong","SUV","https://www.guazi.com/sh/6d99bbb3b85952f4x.htm#fr_page=list&fr_pos=city&fr_no=0",7.58,"2014-01",3,"自动",31.8,72.5
42,"dazhong","SUV","https://www.guazi.com/sh/9892a71b27074577x.htm#fr_page=list&fr_pos=city&fr_no=1",7.91,"2013-03",1.8,"自动",12.35,29.5
43,"dazhong","SUV","https://www.guazi.com/sh/634b0fe305091d46x.htm#fr_page=list&fr_pos=city&fr_no=2",2.72,"2016-10",1.8,"自动",18.02,30
44,"dazhong","SUV","https://www.guazi.com/sh/bf143f206b90dc81x.htm#fr_page=list&fr_pos=city&fr_no=3",13.47,"2011-12",1.8,"自动",9.71,29.5
45,"dazhong","SUV","https://www.guazi.com/sh/2fe88deb74758ac0x.htm#fr_page=list&fr_pos=city&fr_no=4",4.64,"2013-01",2,"自动",14,33.6
46,"dazhong","SUV","https://www.guazi.com/sh/582c9fc82058c096x.htm#fr_page=list&fr_pos=city&fr_no=5",0.48,"2017-11",1.4,"自动",16.8,24.5
47,"dazhong","SUV","https://www.guazi.com/sh/84eb2186a22fa96ax.htm#fr_page=list&fr_pos=city&fr_no=6",7.13,"2014-03",1.8,"自动",13,25.8
48,"dazhong","SUV","https://www.guazi.com/sh/de349318d1ce2709x.htm#fr_page=list&fr_pos=city&fr_no=7",7.48,"2015-12",1.8,"自动",13.5,28.2
49,"dazhong","SUV","https://www.guazi.com/sh/68206d7b8dd37aabx.htm#fr_page=list&fr_pos=city&fr_no=8",12.35,"2014-04",1.8,"自动",12.8,28.2
50,"dazhong","SUV","https://www.guazi.com/sh/94221cc06821afaax.htm#fr_page=list&fr_pos=city&fr_no=9",11.67,"2011-03",2,"自动",10.65,45.5
51,"buick","SUV","https://www.guazi.com/sh/11633a632e08cbccx.htm#fr_page=list&fr_pos=city&fr_no=0",7.09,"2015-04",3.6,"自动",18,55.3
52,"buick","SUV","https://www.guazi.com/sh/96a17335b4e5544dx.htm#fr_page=list&fr_pos=city&fr_no=1",9.04,"2014-01",3.6,"自动",14.4,54.2
53,"buick","SUV","https://www.guazi.com/sh/6c698ae1ed20751ax.htm#fr_page=list&fr_pos=city&fr_no=2",4.85,"2015-01",2,"自动",15,29.3
54,"buick","SUV","https://www.guazi.com/sh/3065e703a9559e9cx.htm#fr_page=list&fr_pos=city&fr_no=3",2.5,"2015-01",2,"自动",16.9,32.6
55,"buick","SUV","https://www.guazi.com/sh/7797c240d14ad185x.htm#fr_page=list&fr_pos=city&fr_no=4",1.2,"2018-02",2,"自动",21.8,31.5
56,"buick","SUV","https://www.guazi.com/sh/9efa21a63d8c67efx.htm#fr_page=list&fr_pos=city&fr_no=5",3.54,"2016-01",1.5,"自动",13.18,25.6
57,"buick","SUV","https://www.guazi.com/sh/b1328ac7f8a5ba14x.htm#fr_page=list&fr_pos=city&fr_no=6",4.57,"2016-03",2,"自动",16.49,29.3
58,"buick","SUV","https://www.guazi.com/sh/c1b8910a6c927cadx.htm#fr_page=list&fr_pos=city&fr_no=7",11.35,"2015-04",2,"自动",14.5,38
59,"buick","SUV","https://www.guazi.com/sh/8ae57b25c0d61c83x.htm#fr_page=list&fr_pos=city&fr_no=8",6.4,"2016-08",1.5,"自动",13.5,25.6
60,"buick","SUV","https://www.guazi.com/sh/b5e704b41284ab4bx.htm#fr_page=list&fr_pos=city&fr_no=9",1.31,"2015-11",2,"自动",15.8,32.6
61,"buick","SUV","https://www.guazi.com/sh/313688b3e4791c5cx.htm#fr_page=list&fr_pos=city&fr_no=10",2.8,"2014-09",3.6,"自动",28,55.3
62,"buick","SUV","https://www.guazi.com/sh/38ea9474c5141dc1x.htm#fr_page=list&fr_pos=city&fr_no=11",9.94,"2011-05",3.6,"自动",11.5,57.4
63,"buick","SUV","https://www.guazi.com/sh/cd7a8366959e8b24x.htm#fr_page=list&fr_pos=city&fr_no=12",3.32,"2016-08",3.6,"自动",24.5,55.3
64,"buick","SUV","https://www.guazi.com/sh/e2a5926a404adc48x.htm#fr_page=list&fr_pos=city&fr_no=13",1.73,"2017-04",1.5,"自动",16,26.7
65,"buick","SUV","https://www.guazi.com/sh/9e9faaf1c54f83a5x.htm#fr_page=list&fr_pos=city&fr_no=14",5.3,"2015-06",2,"自动",16,36.9
66,"buick","SUV","https://www.guazi.com/sh/e6b038f46cefcf1ex.htm#fr_page=list&fr_pos=city&fr_no=15",0.77,"2018-11",3.6,"自动",40,70.4
67,"buick","SUV","https://www.guazi.com/sh/28839e50e271ede9x.htm#fr_page=list&fr_pos=city&fr_no=16",0.58,"2018-05",1.5,"自动",18.8,26
68,"buick","SUV","https://www.guazi.com/sh/7969bf32336aa50dx.htm#fr_page=list&fr_pos=city&fr_no=17",1.08,"2017-01",1.4,"自动",9.5,18.4
69,"buick","SUV","https://www.guazi.com/sh/b60a75c7140f09e9x.htm#fr_page=list&fr_pos=city&fr_no=18",1.55,"2017-08",1.5,"自动",15.2,25.6
70,"buick","SUV","https://www.guazi.com/sh/cdc9822c0bd86f04x.htm#fr_page=list&fr_pos=city&fr_no=19",0.94,"2018-02",1.5,"自动",17.46,26
71,"buick","SUV","https://www.guazi.com/sh/c4c7a09a10cfe0abx.htm#fr_page=list&fr_pos=city&fr_no=20",0.89,"2015-12",1.5,"自动",15.08,25.6
72,"buick","SUV","https://www.guazi.com/sh/f0be904490bb6f2fx.htm#fr_page=list&fr_pos=city&fr_no=21",4.47,"2017-08",3.6,"自动",25,55.3
73,"buick","SUV","https://www.guazi.com/sh/ce57b14a6aa58530x.htm#fr_page=list&fr_pos=city&fr_no=22",2.41,"2017-06",2,"自动",19,29.3
74,"buick","SUV","https://www.guazi.com/sh/94f5c4515a9816e3x.htm#fr_page=list&fr_pos=city&fr_no=23",1.42,"2017-02",2,"自动",19.8,29.3
75,"buick","SUV","https://www.guazi.com/sh/91c766c166fdf69cx.htm#fr_page=list&fr_pos=city&fr_no=24",2.96,"2017-05",1.5,"自动",15.3,25.6
76,"buick","SUV","https://www.guazi.com/sh/a311ae9071165da5x.htm#fr_page=list&fr_pos=city&fr_no=25",3.11,"2014-07",1.4,"自动",7,17.4
77,"buick","SUV","https://www.guazi.com/sh/e467ae1b128bf024x.htm#fr_page=list&fr_pos=city&fr_no=26",2.12,"2017-08",1.4,"自动",9.7,16.3
78,"buick","SUV","https://www.guazi.com/sh/eeaa9f39d7fcd9ecx.htm#fr_page=list&fr_pos=city&fr_no=27",3.85,"2015-01",1.4,"自动",6.91,19.2
79,"buick","SUV","https://www.guazi.com/sh/0ad939244d9c84e0x.htm#fr_page=list&fr_pos=city&fr_no=28",1.44,"2018-01",1.5,"自动",18.5,28.2
80,"buick","SUV","https://www.guazi.com/sh/41bd7cd15166ea58x.htm#fr_page=list&fr_pos=city&fr_no=29",1.21,"2017-02",1.4,"自动",12,16.3
81,"buick","SUV","https://www.guazi.com/sh/4682b7e55c0a037dx.htm#fr_page=list&fr_pos=city&fr_no=30",5.37,"2016-11",1.5,"自动",15.8,25.6
